,number,value,datetime_start,datetime_complete,duration,params_clf__gamma,params_clf__learning_rate,params_clf__max_delta_step,params_clf__max_depth,params_clf__min_child_weight,params_clf__n_estimators,params_clf__reg_alpha,params_clf__reg_lambda,params_clf__scale_pos_weight,state
0,0,0.7719812139384631,2024-08-25 16:08:55.154429,2024-08-25 20:31:43.097162,0 days 04:22:47.942733,0.0036212393450616867,0.0015425027810231633,18.756857099534837,19,0.05734080562527231,150,0.0010456737368173456,9.557151030334467,8.006597251506488,COMPLETE
1,1,0.0,2024-08-25 20:31:43.097854,2024-08-25 22:07:18.121451,0 days 01:35:35.023597,13.829473634870896,0.02365849520510411,0.04810326854452833,18,0.03948439274137692,150,0.026697915422638645,0.01455548481284382,3.181520794022523,COMPLETE
2,2,0.719408505759381,2024-08-25 22:07:18.122030,2024-08-25 22:11:39.159052,0 days 00:04:21.037022,0.20215229986897393,0.880441678525203,12.606229371455441,4,10.624640013751469,100,3.0779817190366785,5.639379223676074,17.243496106853282,COMPLETE
3,3,0.6810968237914113,2024-08-25 22:11:39.159620,2024-08-26 02:57:36.078960,0 days 04:45:56.919340,0.002724798614261523,0.025793921064065306,10.25735292137792,12,0.7375653533173523,150,0.2722311282760016,0.07492215701612859,18.103885952832133,COMPLETE
4,4,0.17603395548223352,2024-08-26 02:57:36.079797,2024-08-26 03:18:34.775560,0 days 00:20:58.695763,0.00553008127905268,6.5705769885933565,7.525461047488013,19,0.4422100315241609,100,5.5429951697419915,0.0031352143837782885,2.5462771635739605,COMPLETE
5,5,0.7705539964648568,2024-08-26 03:18:34.776122,2024-08-26 09:43:47.159197,0 days 06:25:12.383075,8.53466910051317,0.33143048926878077,0.999481981601488,4,10.43808867906964,200,8.21213854529642,0.02797255231044422,8.116552145831195,COMPLETE
6,6,0.22114924529768162,2024-08-26 09:43:47.159770,2024-08-26 11:11:07.299429,0 days 01:27:20.139659,0.9784294308448188,11.282020579349984,10.475043123855224,11,12.011614152756803,100,0.0029959841878394503,0.014019701030487707,17.74241357749524,COMPLETE
7,7,0.8286442897987755,2024-08-26 11:11:07.300033,2024-08-26 11:20:34.698077,0 days 00:09:27.398044,0.39381019831466535,1.4172151622566764,6.551678260938385,6,0.34063703873430157,150,3.406573714033644,0.6804433375020319,17.01352359832392,COMPLETE
8,8,0.3940762531233986,2024-08-26 11:20:34.698658,2024-08-26 11:25:54.709763,0 days 00:05:20.011105,11.924370001538499,0.0012688468960232611,1.779271812498524,6,6.926137329527259,50,0.19256193312843156,0.544526779095183,9.06321342225414,COMPLETE
9,9,0.9066101680289546,2024-08-26 11:25:54.710327,2024-08-26 12:10:35.655522,0 days 00:44:40.945195,0.027183382571998985,0.46015166560554466,17.962826740062606,16,0.909276691862291,200,0.3963456649265921,0.013800971423505396,19.9663877035917,COMPLETE
