2024-09-21 00:39:18 INFO     Using an existing study with name 'xgboost-study1' instead of creating a new one.
2024-09-21 00:39:18 INFO     START OPTUNA OPTIMIZATION...
2024-09-21 00:46:12 INFO     Trial 362 finished with value: 0.6733783177358443 and parameters: {'clf__max_delta_step': 35.88052649215578, 'clf__max_depth': 11, 'clf__reg_lambda': 23.00331596392099, 'clf__gamma': 23.730182285836886, 'clf__min_child_weight': 6.197789247777255, 'clf__reg_alpha': 7.235910341662542, 'clf__learning_rate': 0.057402662017973165, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 00:51:37 INFO     Trial 363 finished with value: 0.8567689301128167 and parameters: {'clf__max_delta_step': 39.95159671205626, 'clf__max_depth': 11, 'clf__reg_lambda': 4.726164881873594, 'clf__gamma': 25.452812391965566, 'clf__min_child_weight': 7.221167933374931, 'clf__reg_alpha': 4.6312736998573625, 'clf__learning_rate': 0.04403422625952249, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 00:58:48 INFO     Trial 364 finished with value: 0.9258728744291445 and parameters: {'clf__max_delta_step': 36.67615581825004, 'clf__max_depth': 11, 'clf__reg_lambda': 3.2581414731862415, 'clf__gamma': 26.591882626141118, 'clf__min_child_weight': 4.911169828138282, 'clf__reg_alpha': 1.071258499481699, 'clf__learning_rate': 0.026546934699139088, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 01:02:22 INFO     Trial 365 finished with value: 0.9122647638117911 and parameters: {'clf__max_delta_step': 40.17771868212277, 'clf__max_depth': 11, 'clf__reg_lambda': 2.638162948637677, 'clf__gamma': 30.183542160273504, 'clf__min_child_weight': 4.365750534985807, 'clf__reg_alpha': 3.1333343538351124, 'clf__learning_rate': 0.21100203956626595, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 01:08:05 INFO     Trial 366 finished with value: 0.8438639528524041 and parameters: {'clf__max_delta_step': 37.27230758191733, 'clf__max_depth': 11, 'clf__reg_lambda': 1.9942940918463015, 'clf__gamma': 26.244051123751923, 'clf__min_child_weight': 1.0475879093852964, 'clf__reg_alpha': 17.38306288420893, 'clf__learning_rate': 0.06472243238165795, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 01:14:32 INFO     Trial 367 finished with value: 0.9020190063568851 and parameters: {'clf__max_delta_step': 34.4712863118266, 'clf__max_depth': 10, 'clf__reg_lambda': 3.5645037597395017, 'clf__gamma': 28.568829405775595, 'clf__min_child_weight': 3.904986055834037, 'clf__reg_alpha': 1.9798638030034859, 'clf__learning_rate': 0.03320325278997579, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 01:19:22 INFO     Trial 368 finished with value: 0.9326130078306617 and parameters: {'clf__max_delta_step': 43.448267572310925, 'clf__max_depth': 11, 'clf__reg_lambda': 1.9406517861709938, 'clf__gamma': 32.58430443363789, 'clf__min_child_weight': 5.359499638670391, 'clf__reg_alpha': 0.14707528631204314, 'clf__learning_rate': 0.050925884052727376, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 01:24:05 INFO     Trial 369 finished with value: 0.8882092950851429 and parameters: {'clf__max_delta_step': 44.701914846371146, 'clf__max_depth': 11, 'clf__reg_lambda': 2.7230532633284863, 'clf__gamma': 32.6192840103793, 'clf__min_child_weight': 6.543019208558105, 'clf__reg_alpha': 0.02910729348473695, 'clf__learning_rate': 0.049267010738892336, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 01:29:07 INFO     Trial 370 finished with value: 0.6057401146922957 and parameters: {'clf__max_delta_step': 42.20296108147738, 'clf__max_depth': 11, 'clf__reg_lambda': 19.914125321091497, 'clf__gamma': 32.899134083674916, 'clf__min_child_weight': 5.220564725877776, 'clf__reg_alpha': 0.04463949532025202, 'clf__learning_rate': 0.03959914748504397, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 01:35:58 INFO     Trial 371 finished with value: 0.9115924273593967 and parameters: {'clf__max_delta_step': 43.01514154455153, 'clf__max_depth': 11, 'clf__reg_lambda': 2.068131082818388, 'clf__gamma': 31.927719285592104, 'clf__min_child_weight': 5.88736491624107, 'clf__reg_alpha': 0.9537188219229875, 'clf__learning_rate': 0.02107702494670145, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 01:40:29 INFO     Trial 372 finished with value: 0.8592732667765176 and parameters: {'clf__max_delta_step': 39.9287693755983, 'clf__max_depth': 11, 'clf__reg_lambda': 3.8460738090100617, 'clf__gamma': 33.23288398866042, 'clf__min_child_weight': 7.6942906218710805, 'clf__reg_alpha': 1.0795172903042611, 'clf__learning_rate': 0.05104238593767036, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
